,title
0,
1,22 февраля 2016 года: 
2,23 февраля 2016 года: 
3,"Ничто не вечно под Луной, все в нашей жизни и сама жизнь является временным состоянием. Если Скорпионам не нравиться их текущее финансовое положение, отсутствие продвижения по службе, условия принятого недавно соглашения, то вероятнее всего вам нужно лишь подождать более вдохновляющих событий, вместо того чтобы следовать обязательствам, потерявшим для вас свою привлекательность."
4,"Страсти вокруг Скорпионов накаляются, а интенсивность чувств окружающих вас людей настолько высока, что Скорпионам кажется, будто краска на стене пошла пузырями от сконцентрированной тут энергии. Звучит знакомо? По крайней мере, вы прекрасно представляете, что пришлось пережить вашим близким и соответственно можете предпринять адекватные ситуации действия."
5,"События этого дня заложат основу для всего сценария событий на предстоящий период, временные рамки такого периода могут варьироваться от недели до нескольких месяцев. Скорпионам стоит быть весьма осторожными сегодня, любое лишнее слово, сказанное в этот день, может повлиять на цепь дальнейших происшествий. Лучше всего расслабиться, наблюдать за разворачивающимся действием, воспринимать появляющуюся в процессе информацию и лишь ближе к окончанию дня принимать соответствующие адекватные решения."
6,"В долгосрочной перспективе своих возможностей Скорпионы должны были уже заметить яркий свет в конце темного туннеля рутинных обязательств. Есть надежда, что долгосрочные деловые проекты, личные или семейные вопросы разрешаться, наконец, в пользу Скорпионов. Но знаете что, начало таких позитивных изменений будет положено сегодня."
7,"Есть вероятность, что Скорпионы заключили недавно джентльменское соглашение выполнение, которого, не слишком вас воодушевляет. Что же, будем надеяться, что вы не успели скрепить свои обязательства печатью, поскольку сегодня перед Скорпионами появиться прекрасная возможность изменить свои планы."
8,"Нужду можно назвать двигателем прогресса, к несчастью именно такая ситуация давно назревает в окружении Скорпионов, однако, к счастью никто из близких к вам людей не обладает всей полнотой информации и теми объемами ресурсов позволяющими поймать на лету самую гениальную идею позволяющую выйти из сложившихся трудностей. Тем ни менее, Скорпионам стоит помнить что, несмотря на все взлеты и падения, рядом с вами находятся ваши близкие и родные люди, которые существуют не только для того чтобы помогать вам в трудную минуту."
9,"Окружающие Скорпионов люди говорят о вас шепотом, как прекрасны и восхитительны, предстаете вы перед ними, проходя мимо. Однако, поскольку вы это вы, Скорпионы, вероятно, думают об окружающих в совсем иной манере, представляете, как даже близкие вам люди обсуждают ваши недостатки, предвкушая ваше падение. И добавить тут нечего."
